,POI,area_01,area_02,area_03,area_04,area_05,area_06,area_07,area_08,area_09,area_10,area_101,area_102,area_103,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,area_19,area_20,area_21,area_22,area_23,area_25,area_26,area_27,area_28,area_29,area_30,area_31,area_32,area_33,area_34,area_35,area_36,area_37,area_38,area_39,area_40,area_41,area_42,area_43,area_44,area_45,area_46,area_47,area_48,area_49,area_50,area_51,area_52,area_53,area_54,area_56,area_57,area_58,area_62,area_63,area_64,area_65,area_66,area_69,area_70,area_73,area_75,area_77,area_78,area_80,area_81,area_85,area_87,area_89,area_90,area_91,area_92,area_96,area_97,area_98,area_99
0,bar,8,1,15,16,4,9,8,4,3,0,1,0,0,2,3,2,62,7,4,2,4,2,0,0,0,15,0,2,4,1,0,5,0,0,0,0,0,6,0,1,3,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,12,22,0,8,1,1,0,0,0,0,13,1,0,0
1,bbq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,biergarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,cafe,13,2,13,14,3,3,2,2,1,1,0,0,0,18,3,2,39,21,13,2,0,0,1,0,0,5,2,0,11,0,0,5,0,0,0,2,0,13,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,1,0,3,0,0,0,0,0,0,0,1,8,61,0,0,0,0,2,0,1,0,12,0,0,0
4,drinking_water,2,7,0,1,0,2,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
5,fast_food,35,4,30,36,13,14,18,13,29,4,2,3,0,15,50,12,90,15,32,8,4,11,10,4,0,11,1,3,10,2,1,17,0,2,1,8,4,21,1,3,21,1,0,0,2,0,0,2,0,1,0,1,7,9,1,1,2,5,0,0,0,1,0,2,1,0,5,0,11,67,2,7,1,3,9,1,0,8,16,0,5,1
6,food_court,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ice_cream,4,0,0,2,0,2,0,0,2,0,0,0,0,2,0,1,5,0,2,1,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,1,1,0,3,0,0,1,1
8,pub,3,11,5,8,4,6,1,16,25,1,1,0,0,1,73,10,24,4,15,1,5,29,6,0,0,6,0,0,2,2,4,5,1,0,1,0,4,2,0,2,36,1,1,0,0,4,0,0,0,0,0,0,6,6,0,0,1,11,0,1,1,2,0,0,1,0,5,0,5,12,0,11,0,1,1,11,4,1,2,0,0,0
9,restaurant,71,11,59,77,38,41,13,19,34,8,0,3,3,28,72,11,192,64,34,9,6,8,9,1,1,36,3,3,27,4,2,19,2,0,4,12,13,40,3,4,20,1,0,1,2,0,0,0,2,2,1,0,15,6,2,2,7,10,0,7,2,1,0,3,1,0,2,7,40,252,0,9,0,0,9,3,4,9,50,0,6,4
10,college,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0
11,driving_school,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,0,0,0
12,kindergarten,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
13,language_school,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
14,library,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,5,1,0,2,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
15,toy_library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,music_school,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,school,1,2,1,5,7,6,4,0,3,3,8,3,1,7,6,3,9,2,10,3,1,1,2,3,3,1,6,2,0,7,2,0,2,2,1,5,2,6,0,4,3,1,2,0,10,0,2,3,5,1,0,0,1,3,0,0,0,1,0,2,2,4,2,0,2,1,1,2,2,14,3,2,3,4,5,1,1,10,3,9,16,0
18,university,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,1,0,0,0
19,bicycle_parking,3,0,8,2,4,3,1,0,0,0,2,0,0,1,2,0,23,13,5,2,1,1,0,0,0,7,0,0,1,0,0,1,0,0,0,1,1,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0
20,bicycle_repair_station,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,bicycle_rental,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,3,31,56,3,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,19,0,0,0
22,boat_rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,boat_sharing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,bus_station,1,0,1,0,0,0,3,1,2,0,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,car_rental,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,car_sharing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,car_wash,2,2,1,2,0,7,0,5,7,1,1,0,0,0,4,3,10,1,6,2,1,6,2,0,0,0,0,0,3,2,0,2,2,0,0,3,0,1,0,2,9,0,0,0,0,0,1,0,1,0,0,0,3,0,1,1,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,0,0,3,8,2,0,1,0,1,1
28,vehicle_inspection,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,charging_station,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ferry_terminal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,fuel,2,2,0,2,5,10,3,4,1,10,4,4,2,9,8,5,12,4,10,7,2,0,3,1,0,2,0,1,11,3,3,9,1,6,5,4,3,10,2,3,2,0,1,0,4,1,2,1,1,5,0,0,3,3,1,1,3,9,0,1,3,2,0,1,0,0,3,0,2,7,2,1,0,3,2,1,2,3,7,1,12,6
32,grit_bin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,motorcycle_parking,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,parking,49,6,37,57,30,1,5,20,13,2,0,1,1,14,92,4,119,17,8,3,2,5,3,1,0,5,2,0,5,1,1,12,0,0,2,6,1,9,0,4,5,2,2,0,0,1,0,2,0,0,0,0,4,9,0,0,3,3,0,0,0,0,1,1,1,0,5,0,39,75,1,8,1,0,2,0,0,2,4,0,1,0
35,parking_entrance,3,0,4,1,3,2,1,2,9,1,0,5,0,9,21,1,10,9,4,3,1,3,1,0,0,1,0,0,6,5,0,3,0,0,0,9,7,3,0,0,3,0,0,0,1,2,0,1,0,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,1,1,1,2,1
36,parking_space,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
37,taxi,20,6,17,23,13,6,16,8,14,3,0,0,0,6,18,16,80,18,12,4,3,3,5,1,0,28,0,0,12,3,1,11,2,0,0,1,10,7,0,4,7,2,0,0,0,0,0,2,0,0,0,0,7,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,13,57,0,3,0,1,0,3,4,0,8,0,0,0
38,atm,9,1,0,1,1,1,0,0,8,0,1,0,0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,0,0,0,1,0,2,0,0,1,0,0,0
39,bank,50,1,24,18,17,17,3,6,0,2,5,3,1,10,12,7,24,32,19,9,3,2,4,0,5,4,0,5,18,2,1,10,3,2,5,13,26,13,0,1,3,1,0,1,6,2,0,0,1,4,1,0,1,8,0,0,3,3,0,6,1,0,0,1,2,0,1,0,14,82,1,4,2,7,6,0,0,4,18,0,12,3
40,bureau_de_change,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
41,baby_hatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,clinic,2,0,1,5,5,1,2,1,2,1,0,0,0,0,2,0,3,3,6,0,0,1,2,1,1,1,6,0,1,0,0,3,1,2,0,1,3,9,1,1,2,0,0,0,3,1,1,1,5,0,0,1,2,2,0,0,1,0,0,2,0,1,0,0,1,0,4,0,3,6,2,1,1,2,1,1,1,12,1,4,8,1
43,dentist,1,1,2,4,1,7,4,0,3,0,0,0,0,1,3,6,9,0,4,1,1,8,1,0,0,0,0,0,1,0,2,2,0,1,0,1,0,2,0,2,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,1,1,0,7,1,0,1,1
44,doctors,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,4,3,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
45,hospital,1,1,1,2,1,1,0,1,2,0,0,0,0,0,0,3,2,0,2,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,1,1
46,nursing_home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,pharmacy,16,1,10,6,9,18,6,4,6,1,2,1,2,11,7,9,27,13,22,4,2,5,7,0,1,7,0,2,6,3,5,6,4,0,1,9,12,12,0,2,11,2,3,4,3,1,0,1,2,1,0,0,6,5,3,3,2,4,0,7,1,2,0,4,0,1,3,2,8,37,0,1,1,0,8,0,1,8,7,0,8,3
48,social_facility,4,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49,veterinary,0,0,1,2,1,2,1,0,4,0,0,0,0,0,1,2,2,0,3,1,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,arts_centre,3,1,1,2,1,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,11,1,0,0,0
