date,sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
2022-01-02,14,64,54,66,53,89,85,0,0,100,35,46,59,54,27,38,89,0,39,42,70,0,43,100,62,59,0,85,97,89,74,0,97,84,100,0,0,35,0,100,74,0,43,79,37,84,87,76,0,0,32,57,53,0,50,99,44,100,82,60,78,0,58,62,0,68,42,75,86
2022-01-09,35,67,100,21,100,80,73,80,0,97,16,54,69,61,99,33,50,0,78,39,65,68,33,66,54,98,0,91,53,72,95,36,85,71,61,0,0,76,55,47,40,0,14,100,27,64,100,82,58,0,25,100,47,0,78,100,52,47,60,82,95,0,0,50,34,79,46,69,79
2022-01-16,12,71,79,0,50,54,54,50,49,78,0,34,57,45,54,26,79,45,60,80,46,41,38,0,28,78,50,71,37,84,78,0,100,65,61,0,0,53,53,29,41,66,33,50,23,57,68,78,0,29,47,57,54,0,41,54,74,33,30,36,84,0,42,37,0,0,0,53,77
2022-01-23,21,56,58,26,94,84,74,0,26,82,31,59,72,54,41,34,95,0,58,71,51,46,11,51,28,31,64,77,67,78,56,0,100,71,66,0,30,0,0,41,62,100,83,74,44,81,98,100,0,52,0,55,75,0,0,21,45,0,63,28,100,45,36,46,0,0,0,62,80
2022-01-30,17,47,35,43,50,69,67,69,45,86,23,28,70,60,82,27,68,41,51,47,37,0,30,54,22,100,0,73,67,56,100,31,83,67,53,0,0,0,33,41,76,62,65,30,50,60,84,54,0,0,71,39,76,0,0,75,0,24,100,73,72,35,61,0,0,0,0,56,60
2022-02-06,13,100,47,32,36,65,64,0,100,74,59,28,77,65,28,30,80,0,58,59,37,63,12,40,61,56,59,70,42,72,79,90,69,91,64,0,0,100,29,31,68,0,13,49,40,64,61,73,52,20,33,34,68,0,53,33,0,48,59,76,68,58,47,73,0,100,97,65,80
2022-02-13,31,49,78,43,64,84,65,42,52,75,35,44,65,53,65,39,93,42,15,87,63,100,35,0,37,47,0,94,30,77,45,87,73,78,65,37,0,0,55,0,50,0,45,64,38,55,56,65,28,17,50,30,73,30,56,32,95,69,47,64,97,0,37,34,0,55,19,56,77
2022-02-20,26,65,45,49,29,71,55,35,30,72,100,46,60,50,79,29,78,0,0,74,46,34,24,55,58,26,71,77,20,62,69,29,85,67,42,25,19,28,24,38,20,28,55,43,36,46,52,80,42,17,50,36,78,26,54,43,39,52,61,74,59,83,50,47,21,28,0,56,72
2022-02-27,21,47,46,29,48,77,68,85,25,64,36,42,79,67,56,35,65,44,51,38,71,0,33,45,50,55,0,68,29,95,100,59,87,62,49,0,0,25,50,0,49,0,64,61,29,70,48,85,0,24,19,68,42,0,0,32,45,84,22,81,71,0,41,69,0,28,21,65,89
2022-03-06,21,55,60,40,13,67,59,0,52,72,40,42,85,72,0,34,86,88,85,90,51,33,31,45,65,48,0,79,48,63,65,37,87,73,50,25,0,23,0,0,48,0,65,47,16,61,61,68,30,16,43,40,81,35,52,0,30,58,24,80,85,0,44,50,72,40,0,53,66
2022-03-13,27,52,62,48,42,82,64,59,61,78,35,62,76,55,76,33,68,0,58,66,51,0,14,37,57,38,0,74,25,66,75,0,80,66,54,22,0,71,20,0,42,0,44,41,38,77,80,74,0,0,17,47,65,0,71,0,36,0,76,70,68,26,39,56,26,47,0,67,72
2022-03-20,26,79,48,28,62,72,65,46,19,76,17,45,79,63,44,32,79,54,59,58,59,30,35,19,66,25,27,68,29,88,48,55,78,67,52,0,0,52,16,47,25,0,65,87,30,74,53,60,60,0,77,45,29,0,55,23,54,96,40,65,84,0,13,96,23,0,43,52,79
2022-03-27,25,73,61,50,75,74,72,33,44,92,57,73,84,84,97,39,85,28,62,95,52,60,45,57,39,60,0,78,23,93,74,88,96,96,77,29,0,29,57,62,65,0,66,88,39,67,47,82,72,22,46,43,46,0,43,17,25,22,87,63,90,27,30,78,0,0,0,72,77
2022-04-03,29,80,79,60,47,61,75,37,30,71,55,52,76,51,78,32,100,56,100,62,61,54,25,24,50,43,0,80,30,69,44,23,64,70,58,33,0,20,45,55,60,21,48,91,28,70,64,70,19,0,63,55,38,0,86,0,0,38,40,84,88,0,77,56,38,0,0,62,88
2022-04-10,30,74,46,89,29,59,68,0,0,74,27,28,79,58,0,36,53,38,71,59,54,45,12,91,42,50,28,56,14,60,78,61,79,67,74,0,45,39,36,0,55,0,48,43,17,78,51,87,0,39,17,24,55,0,66,0,49,32,52,67,69,37,21,100,0,0,0,60,83
2022-04-17,21,78,57,52,57,68,75,71,26,69,12,66,94,57,88,31,66,0,51,82,39,37,30,51,78,48,53,83,51,72,63,48,79,80,52,0,0,20,0,36,55,28,26,64,50,63,40,48,37,0,39,58,19,0,42,0,31,0,51,84,76,0,31,72,27,53,30,64,95
2022-04-24,38,100,70,55,55,60,65,40,31,71,21,100,84,61,87,38,80,45,75,81,42,52,45,57,60,55,31,69,37,69,63,61,82,61,48,23,0,0,100,51,50,0,51,71,21,73,76,85,0,26,46,57,49,0,53,0,62,22,41,87,73,0,23,62,0,38,0,66,70
2022-05-01,22,75,71,38,66,83,77,45,39,74,46,29,68,71,59,36,90,0,58,62,38,46,45,51,70,54,23,80,15,72,74,38,82,74,55,52,0,0,30,42,41,28,65,76,54,70,66,82,0,31,35,71,76,0,91,0,46,64,43,58,93,0,22,35,0,0,33,58,92
2022-05-08,27,88,55,81,46,66,78,24,58,67,37,33,62,92,56,33,87,25,44,81,39,39,30,41,54,45,51,77,55,68,66,30,73,77,44,0,22,0,22,37,30,26,56,69,44,65,83,72,0,41,32,49,25,0,80,17,49,0,47,76,67,0,34,74,0,35,27,51,68
2022-05-15,32,80,64,46,57,88,100,100,37,85,35,49,76,71,99,29,64,28,32,40,58,0,100,21,100,66,0,80,56,77,97,46,82,73,64,0,0,71,45,0,46,0,90,89,52,100,68,82,42,16,82,34,46,0,65,0,34,34,45,68,84,0,36,61,0,61,53,100,100
2022-05-22,42,39,62,41,46,59,99,0,22,69,24,36,65,39,91,23,74,55,48,68,59,40,28,35,65,44,64,78,50,100,78,0,85,61,60,0,75,52,27,49,87,46,100,37,14,66,35,66,25,0,40,64,0,35,37,0,60,24,35,62,86,25,35,47,23,0,48,53,80
2022-05-29,33,59,80,22,25,69,90,25,0,75,26,32,84,65,30,27,78,0,73,43,31,63,38,33,49,66,0,100,31,59,85,85,81,64,65,0,0,0,0,24,66,38,59,61,54,85,86,57,0,37,66,54,55,0,34,0,47,56,32,79,69,31,38,87,31,56,42,51,81
2022-06-05,25,51,96,53,13,68,78,0,46,68,80,36,78,83,69,36,80,45,63,75,41,63,44,48,77,62,0,71,100,70,81,53,79,65,62,0,0,64,36,34,41,0,46,40,47,67,47,63,0,0,54,42,0,0,0,33,0,42,61,76,83,0,29,71,0,34,0,53,94
2022-06-12,13,55,55,45,49,100,75,44,42,76,43,29,68,45,0,33,92,29,45,62,45,28,52,56,67,25,0,71,75,85,86,64,77,60,70,0,0,27,45,66,77,70,84,84,45,89,48,70,25,0,66,60,46,29,57,0,87,0,52,70,87,0,20,58,0,31,0,69,74
2022-06-19,27,87,50,100,70,71,74,0,22,55,41,34,84,47,54,49,54,0,33,44,47,21,24,27,58,53,0,82,19,86,51,46,94,88,59,25,0,34,30,25,32,0,55,51,87,98,67,70,47,66,38,27,0,0,38,30,30,71,49,37,70,0,0,40,0,94,0,70,77
2022-06-26,27,56,84,31,78,85,64,33,35,79,35,44,76,70,70,36,75,0,51,88,47,0,15,85,71,49,0,72,19,77,57,60,87,59,63,0,20,0,27,31,74,0,61,86,83,85,66,64,27,52,32,45,0,0,39,0,86,80,52,62,80,0,44,74,0,52,0,65,100
2022-07-03,37,57,78,0,9,68,68,64,36,79,50,27,82,57,0,37,32,0,62,62,31,43,24,60,35,34,0,55,80,54,68,100,68,68,60,0,19,0,0,48,54,30,57,69,54,71,62,52,32,59,90,60,42,29,74,17,0,58,37,87,87,0,30,45,24,74,26,64,86
2022-07-10,30,76,58,48,30,67,65,35,19,70,27,26,62,46,29,41,73,0,73,69,80,33,33,63,58,65,0,78,77,62,51,0,84,66,50,0,29,0,46,0,65,0,45,51,44,65,65,83,35,0,46,38,64,0,0,0,55,43,66,74,96,0,36,57,24,60,0,51,68
2022-07-17,21,73,50,54,47,85,68,0,13,82,29,40,72,61,45,35,67,0,76,37,100,0,48,15,54,16,37,62,59,87,63,47,86,100,42,0,0,0,34,0,60,0,46,36,22,72,41,90,0,58,36,48,32,0,31,23,84,34,31,85,73,0,83,59,29,91,100,77,87
2022-07-24,28,55,66,85,66,89,69,24,83,71,63,59,100,54,55,35,72,0,43,44,73,37,35,45,45,60,0,81,43,78,75,0,80,66,52,46,25,23,22,45,41,0,63,68,39,80,67,89,0,30,63,68,70,0,76,0,100,36,69,100,100,75,33,57,52,61,0,44,95
2022-07-31,25,75,72,33,43,99,60,91,37,77,25,54,87,35,0,37,68,0,33,59,65,32,33,51,49,35,0,75,42,80,76,67,78,80,56,0,0,57,22,0,49,0,79,78,34,75,45,61,0,100,20,31,45,0,74,39,32,41,41,76,89,48,35,90,0,33,0,59,90
2022-08-07,36,61,44,44,44,83,69,25,15,66,54,50,80,59,56,38,85,27,62,62,34,50,49,69,43,43,0,67,32,78,65,42,88,92,51,27,39,100,41,26,64,25,63,45,36,84,74,80,0,42,90,65,18,60,29,65,17,74,13,59,93,40,100,99,46,65,34,58,79
2022-08-14,25,56,56,28,37,80,73,24,25,78,26,39,90,66,51,38,85,0,95,68,67,36,39,68,47,67,0,79,41,72,81,36,67,69,52,40,0,30,0,0,37,37,78,58,56,80,77,82,19,34,0,62,17,0,83,0,27,57,21,92,91,0,37,44,0,0,17,61,80
2022-08-21,23,56,69,0,63,70,64,45,19,79,10,36,77,68,50,39,68,91,26,70,40,26,24,50,89,34,100,66,19,71,85,0,51,47,59,32,54,47,0,54,43,0,48,85,26,79,57,97,30,0,22,56,49,0,0,38,38,38,26,70,79,0,69,59,0,92,35,70,63
2022-08-28,17,46,73,56,74,75,72,0,0,98,27,32,87,71,54,60,67,43,40,57,71,48,45,89,62,52,27,83,74,95,75,0,65,79,67,0,33,21,52,32,82,0,48,75,39,71,41,85,70,19,20,45,21,0,89,83,28,37,29,64,76,0,29,28,0,0,25,58,78
2022-09-04,22,66,18,76,42,53,67,22,27,62,33,55,83,41,81,100,71,0,64,81,45,0,37,40,51,0,0,73,38,79,67,61,87,59,54,0,0,28,0,25,45,47,81,67,27,86,70,58,34,44,22,58,71,23,75,49,38,44,67,58,70,0,21,65,36,0,0,60,86
2022-09-11,34,63,73,30,52,90,77,17,23,68,65,34,90,61,50,52,78,37,37,67,58,16,49,56,57,56,75,68,68,87,58,25,63,74,66,0,0,61,23,51,63,0,81,71,52,72,50,50,38,18,91,68,0,75,52,0,25,51,48,73,88,0,40,32,0,56,29,57,82
2022-09-18,18,64,41,43,49,88,79,64,28,84,45,43,84,66,81,44,69,0,47,59,71,27,32,15,55,54,44,63,44,75,74,0,67,49,61,0,0,0,0,0,26,0,45,74,33,74,64,80,34,0,26,59,36,78,51,31,0,53,36,67,70,24,41,60,22,0,27,58,70
2022-09-25,21,68,43,60,59,91,80,43,46,73,68,51,57,82,77,35,99,0,44,81,57,33,39,47,73,58,30,70,0,72,66,0,69,74,46,0,0,35,41,35,76,54,62,66,40,80,53,56,44,0,32,71,63,48,77,30,0,83,39,55,74,24,30,31,0,0,0,55,86
2022-10-02,20,53,64,48,46,62,60,40,0,80,32,30,70,46,59,42,74,63,78,66,56,0,29,26,51,45,0,52,51,67,74,47,62,59,45,100,0,0,70,41,45,0,54,48,100,62,51,74,0,0,52,48,55,24,54,22,61,69,52,56,79,0,31,46,0,39,0,67,86
2022-10-09,28,59,55,51,46,68,72,50,87,66,20,27,80,100,60,58,52,40,60,87,43,31,34,42,46,65,63,87,34,76,79,38,74,79,74,0,0,0,32,0,100,51,55,61,47,66,43,61,45,26,54,10,48,100,100,0,27,29,57,92,89,0,44,61,0,0,0,53,75
2022-10-16,35,46,65,46,69,86,61,46,0,71,0,49,66,75,32,43,85,58,31,100,61,40,8,62,54,45,0,59,75,70,91,66,76,76,40,0,0,0,0,75,58,0,75,94,58,76,45,78,0,22,17,41,14,46,75,0,22,47,55,60,72,0,34,55,0,56,0,50,72
2022-10-23,27,71,72,58,41,77,73,0,53,82,45,34,84,66,70,36,73,27,0,43,62,39,27,87,61,58,0,78,68,41,70,0,78,65,52,30,20,74,33,37,33,51,42,64,43,75,48,82,19,0,0,70,0,0,47,38,22,71,51,70,81,0,28,59,0,0,0,54,58
2022-10-30,22,69,64,46,40,64,66,36,0,63,27,42,84,28,100,44,78,33,86,87,40,0,23,60,75,47,0,61,53,62,50,92,61,50,40,0,35,21,0,46,67,0,60,78,26,63,79,55,34,0,47,48,34,0,36,18,16,0,54,79,50,85,27,91,33,44,21,50,64
2022-11-06,25,53,67,30,33,67,65,28,0,62,34,33,67,59,31,39,54,80,58,63,57,24,27,29,40,49,43,58,48,46,57,63,50,46,38,46,0,24,48,38,14,28,43,28,20,46,62,81,22,53,63,43,26,0,60,0,58,20,17,78,57,0,0,22,100,31,20,50,72
2022-11-13,30,82,33,25,50,63,61,59,45,55,40,46,93,45,45,40,64,48,0,63,53,22,45,67,28,65,0,60,42,62,72,0,59,30,52,0,0,44,30,0,60,0,42,31,33,39,49,48,30,25,37,41,18,66,0,0,17,49,52,52,82,65,24,63,0,41,0,51,46
2022-11-20,100,69,68,31,69,51,63,0,57,44,12,24,48,77,42,34,56,0,45,55,67,35,22,20,58,33,0,47,21,67,67,50,61,44,47,25,0,17,0,19,27,0,58,22,20,37,61,51,0,0,0,40,50,0,26,0,81,38,21,53,54,0,18,42,0,0,23,44,56
2022-11-27,21,48,56,38,37,62,65,52,22,52,21,21,62,27,0,27,75,100,38,36,45,16,22,50,35,34,0,74,25,45,62,45,65,45,32,23,26,20,0,22,39,0,65,28,20,66,51,34,56,39,18,42,31,48,95,0,0,29,13,50,54,100,16,28,23,0,0,38,51
2022-12-04,16,81,50,44,39,74,76,40,82,63,29,17,68,50,19,37,54,0,65,87,22,52,15,27,45,39,0,68,25,61,80,0,44,69,32,28,0,0,29,29,10,0,50,37,28,57,50,52,100,39,52,50,0,37,94,0,36,35,46,57,44,0,57,43,22,0,0,37,33
2022-12-11,19,56,70,30,80,86,76,33,69,58,0,20,86,41,27,43,70,56,49,63,51,20,11,70,49,35,66,49,0,56,68,0,76,60,37,35,100,36,0,0,57,28,46,67,55,72,39,43,50,24,29,34,100,0,75,0,0,51,69,52,40,0,0,37,0,30,24,41,63
2022-12-18,17,78,54,24,62,74,56,0,16,52,41,39,68,84,50,36,63,0,48,80,28,33,29,59,54,27,37,75,29,58,41,61,71,69,62,0,0,0,0,44,48,0,41,45,50,67,74,61,21,18,62,22,0,0,30,0,44,31,59,54,48,61,37,44,0,61,0,49,69
2022-12-25,27,59,50,66,35,55,47,0,0,67,17,36,78,25,0,46,52,0,53,76,30,0,44,71,48,37,0,73,32,69,74,58,99,39,53,0,0,0,70,0,21,0,0,66,15,64,47,57,0,0,100,38,74,0,52,40,0,25,38,35,58,0,0,43,0,0,0,45,72
